	item	desc	domain	meaning	example_1	example_2	example_3	example_4
69	TAQDIR	n	Entities and Existence	fate, lot, future | event, case	Bu urushda vatanimizning taqdiri hal qilinadi.	In this war the fate of our native land will be decided.		
73	QISMAT	n	Entities and Existence	fate (of sb)	Qismatingizda borini ko'rasiz.	You will see what fate brings you.		
75	imkoniyat	n	Entities and Existence	possibility, opportunity				
77	MUMKIN	adj	Entities and Existence	possible	Mumkin bo'lsa, kelarsiz.	If it is possible, please come.		
78	MUMKIN	adj | NX VY+ishi ~	Entities and Existence	(Y) be possible for X	Kirish mumkin.	You can come in.		
82	EHTIMOL	ad	Entities and Existence	probable(ly), possible(ly)	Ehtimol, u ham kelsa kerak.	It is possible that he will come.		
86	ANIQ	ad	Entities and Existence	clear(ly), obvious(ly) | precise(ly), exact(ly) | definite(ly), absolute(ly)	Aniq javob berdi.	He gave a definite answer.	Mening kelishim aniq.	I will definitely come.
88	belgila-	v.t	Entities and Existence	fix, define	Dekanat imtihonlar muddatini belgiladi.	The dean's office has fixed the date of the examinations.		
89	AGAR	conj	Entities and Existence	if	Agar sog' bo'lsam ishga kelaman.	If I am well, I will come to work.	Agar yomg'ir yog'masa, men shaharga boraman.	If it does not rain, I will go to the city.
92	HOL	n	Entities and Existence	condition, state (of sb, sth) | circumstances	U iljaygan holda uyga kirdi.	He entered the room smiling.		
95	AHVOL	n	Entities and Existence	condition, state (of sth, esp. of sb)	Ahvolingiz qalay?	How are you?	Uning ahvoli yana og'irlasha boshladi.	His condition again began to grow serious.
97	VAZIYAT	n	Entities and Existence	situation, position, condition | circumstances	Shunday bir vaziyatda ishlash mumkin emas.	It is impossible to work in such circumstances.		
98	MUHIT	n	Entities and Existence	environment, surroundings	Ular eng og'ir muhitda yashaydilar.	They live in very difficult circumstances.		
99	SHART	n	Entities and Existence	condition (necessary for sth)	Universitetda o'qish shartini o'rgandim.	I have learnt the conditions for studying at university.		
102	SHAROIT	n	Entities and Existence	conditions (of, with sth); circumstances	Bu yerdagi ish sharoitimiz yaxshi.	Our conditions of work here are good.		
103	SHAROIT	NX uchun shart-sharoit	Entities and Existence	conditions, prerequisites for X	O'zbekistonda talabalarga samarali o'qishlari uchun barcha shart-sharoitlar yaratilgan.	In Uzbekistan all conditions have been created for fruitful studies to the students.		
108	UCHUN	shuning uchun	Entities and Existence	therefore, for that reason				
109	TUFAYLI	post | NX ~	Entities and Existence	because of X, thanks to X, on account of X	Havoning yomonligi tufayli ekinlar yaxshi o'smadi.	Because of the bad weather the crops did not grow well.		
110	SABAB	n	Entities and Existence	reason, cause	Nima sababdan kelmadingiz?	Why didn't you come to work?		
112	SABAB	nima sababdan	Entities and Existence	for what reason	Nima sababdan keldingiz?	Why did you come?		
113	SABAB	shu sababdan	Entities and Existence	for this reason				
116	CHUNKI	conj	Entities and Existence	because	Siz majlisga borishingiz kerak, chunki u yerda odamlar sizni kutyaptilar.	You must go to the meeting because people are expecting you there.		
119	keltir-	v.t	Entities and Existence	bring about, cause, provoke				
123	bog'liq	adj | NX+ga ~	Entities and Existence	dependent (on X); depend on X	Bu menga bog'liq emas, unga bog'liq.	It doesn't depend on me, it depends on him.	Rejani bajarish mehnat unumdorligining oshirilishiga bog'liq.	The fulfilment of the plan depends on the raising of the labour productivity.
124	TA'SIR	n | NX+ga ~	Entities and Existence	influence, effect on X; impression on X	Uning unga ta'siri kuchli.	She has a great influence on him.	So'zlagan so'zingiz yaxshi ta'sir berdi.	Your speech created a good impression.
125	TA'SIR	NX+ga ~ ko'rsat-	Entities and Existence	influence X, exert an influence on X, act upon X	Uning xarakteriga yomon filmlar ta'sir ko'rsatdi.	The worst films have influenced his character.	U bu yigitga kuchli ta'sir ko'rsatadi.	He exerts a potent influence on this youth.
126	TA'SIR	NX+ga ta'sir qil-/et-	Entities and Existence	influence X, have an influence on X, affect X, move X, touch X	Chekish sog'liqqa salbiy ta'sir qiladi.	Smoking affects adversely the health.	Uning ovozi menga tinchituvchan ta'sir qildi.	His voice affected me quietenly.
129	NATIJA	n	Entities and Existence	result; conclusion				
131	NATIJA	natija ber-	Entities and Existence	have, yield a result	Kechagi ishimiz hech qanday natija bermadi.	Our yesterday's work had no result at all.		
139	mahsulot	n	Entities and Existence	output, production, yield, product	Bu yil paxta maydonlaridan ko'p paxta mahsuloti oldik.	We got a heavy yield of cotton from the cotton fields this year.		
145	XULOSA	n	Entities and Existence	conclusion, summary, result	Bu kitobning xulosasini ayting.	Give me a summary of this book.	Bu o'yinning xulosasini bilishni istayman.	I want to know the result of this game.
146	BILAN	post | NX ~	Relations	with X, by means of X, and X	Choyni qand bilan ichaman.	I take tea with sugar.	Qalam bilan yozaman.	I will write with a pencil.
147	BIRGA	adv	Relations	together	Biz birga keldik.	We came together.		
148	BIRGA	adv | NX bilan ~	Relations	together with X	Kitob o'qish bilan birga tushingan narsalarni ham yozib borish kerak.	In addition to reading a book one must write down what one understands.	U men bilan birga keldi.	He came together with me.
150	HUZUR	n	Relations	presence				
151	HUZUR	NX+ning ~+ida/dan/ga	Relations	in presence of X	Bir soatdan so'ng huzuringizda bo'laman.	In an hour I shall be in your presence.		
152	YOLG'IZ	ad	Relations	alone, solitary, single	U yolg'iz qoldi.	He remained alone.	Uzoq bir yerda yolg'iz bir uy turibdi.	In the far distance stands a solitary house.
154	OID	post | NX+ga ~	Relations	pertaining to X, relating to X	Bu ishga oid narsalarni keltiring.	Bring the things pertaining to this work.	Bu kitob sizga oid.	This book belongs to you.
157	bog'liq	adj | NX+ga ~	Relations	dependent (on X); depend on X	Bu menga bog'liq emas, unga bog'liq.	It doesn't depend on me, it depends on him.	Rejani bajarish mehnat unumdorligining oshirilishiga bog'liq.	The fulfilment of the plan depends on the raising of the labour productivity.
158	bog'la-	v.t	Relations	tie, bind; fasten	Menga galstukni bog'lab bering.	Tie me the neck-tie.	Otni bog'lab qo'y!	Tether the horse!
162	ALOQA	n | NX bilan ~	Relations	contact, communication with X				
166	MUNOSABAT	n | NX bilan ~	Relations	relations, connections with X	Mening kitobxona xodimlari bilan munosabatim bor.	I have some connection with the library workers.		
173	o'zaro	ad	Relations	mutual(ly), reciprocal(ly)	Ular o'zaro yordam jamiyatini tuzdilar.	They formed a mutual-help society among themselves.		
176	ARALASH-	v.int | NX+ga ~	Relations	get mixed up with X | take part in X, interfere in X, meddle with X	Butana - loyqa, qum, tuproq kabilar aralashgan suv.	Butana is water mixed with such things as mud, sand, or soil.	Bizning qo'yimiz qo'shinimizning qo'ylariga aralashib ketdi.	Our sheep got mixed up with our neighbours'.
177	aralashtir-	v.t | NX+ni NY+ga ~	Relations	mix X with Y				
185	BIR	NX (NY) ~	Relations	X (and Y) are one, the same				
186	BIR	NX (NY) bir xil	Relations	X (and Y) are the same	Bu kitoblarning hammasi bir xil.	These books are all the same.		
189	YA'NI	conj	Relations	that is to say, namely	Sizlarga yordam beramiz ya'ni pul va mashinalar ham beramiz.	We will help you, that is to say, we will give you money and machines.		
190	KABI	post | NX ~	Relations	like X	Shuning kabi ishlarni qilmaslik kerak.	Things like this must not be done.		
192	SINGARI	post | NX ~	Relations	similar to X	Buning singari ishlarni qilish kerak.	Work like this has to be done.		
194	O'XSHA-	v.int | NX+ga ~	Relations	be, look like X, resemble X	Bola ko'proq otasiga o'xshaydi.	The boy looks more like his father.	Bu kitob u kitobga o'xshaydi.	This book is like that one.
197	o'xshash	adj | NX+ga ~	Relations	similar to X, alike				
204	XUDDI	adv	Relations	exactely, precisely | as if	Biz ishni xuddi soat beshda tugatamiz.	We will finish work at exactly five o'clock.		
207	MISOL	n	Relations	example	Qilgan ishimiz uchun bu yaqqol misol bo'la oladi.	This will be a clear example of the work we have done.		
211	MASALAN	adv	Relations	for example, for instance				
214	BOSHQA	adj	Relations	other, another	Boshqa uyga kiramiz.	We will go into the other room.		
215	BOSHQA	adj | NX+dan ~	Relations	different from X				
216	BOSHQA	post | NX+dan ~	Relations	apart from X	Bundan boshqa pulim yo'q.	Apart from this, I have no money.		
220	TASHQARI	NX+dan ~	Relations	other than X, in addition to X, besides X	Bu ishimizdan tashqari bo'lgan boshqa ishni qilmaymiz.	We will not do any other work than this.	Bu kitob o'qing, bundan tashqari bu kitob haqida o'z fikringizni yozing.	Read this book and in addition, write your views about it.
226	O'ZGAR-	v.int	Relations	change, alter	Sen yaxshi ma'noda juda ham o'zgaribsan.	You have strongly changed for the better.		
229	o'zgartir-	v.t	Relations	change, alter | replace, substitute	Sen nima uchun o'z qaroringni o'zgartirding?	Why have you changed your decision?	Bu qonunni o'zgartirish kerak.	This law must be changed.
230	QARSHI	adj	Relations	opposing, against | opposite	Qarshi tomon.	Opposite side.		
231	QARSHI	post | NX+ga ~	Relations	against X, contrary to X	U odam menga qarshi ish qilyapti.	That man is working against me.	Uning kutganiga qarshi.	Contrary to his expectations.
234	qarshilik	qarama-qarshi	Relations	opposite, opposing	U yerda qarama-qarshi harakat bor.	There is an opposing movement here.		
236	TESKARI	adj | NX+ga ~	Relations	contrary to X | opposed to X, against X				
238	TESKARI	n	Relations	contrary, opposite				
247	LEKIN	conj	Relations	but				
248	AMMO	conj	Relations	but	Men keldim ammo u kelmadi.	I came but he didn't.		
253	FARQ	n	Relations	difference				
255	FARQ	NX+ni NY bilan farq qil-	Relations	distinguish X from Y				
258	farqli	adj	Relations	different				
265	qaraganda	post | NX+ga ~	Relations	in comparison with X | according to X	Bu uy unisiga qaraganda kattaroq.	This house is larger than that one.	Bu yilgi yalpi mahsulot o'tgan yilga qaraganda ko'proq.	The gross output for this year is greater than that of last year.
267	KO'RA	post | NX+dan ~	Relations	in comparison with X	Undan ko'ra bunisi yaxshi.	This one is better than that one.		
270	SOLISHTIR-	v.t | NX+ni NY bilan ~	Relations	compare X with Y	Magnitofon o'z javobingizni original bilan solishtirish imkoniyatini beradi.	The tape-recorder allows you to compare your response with the original.	Bu qog'ozni u qog'oz bilan solishtirib ko'rdim.	I tried to compare this paper with that one.
281	qiyosla-	v.t | NX+ni NY bilan ~	Relations	compare X with Y	Inglizcha gap strukturasini nemis tili gap strukturasi bilan qiyoslang.	Compare the structure of the English sentence with that of the German one.		
282	NAMUNA	n, adj	Relations	model, example | sample				
285	NUSXA	n, meas	Relations	copy, sample, model	Bir nusxasini bering!	Give me a copy please!		
290	TAQLID	NX+ga taqlid qil-	Relations	copy X, imitate X	Bu bola hayvonlar ovoziga ustalik bilan taqlid qiladi.	This boy imitates skillfully the voices of animals.		
293	taqlidchi	N(ish)X+ga to'g'ri kel-	Relations	correspond to X, coincide with X | it is suitable to X; it is necessary to X	Ko'p ishlashga to'g'ri keldi.	A lot of work had to be done.	Uning bilan to'g'ri kelgan joyda so'zlashaman.	I will talk to him wherever I can get hold of him.
294	MUNOSIB	adj | N(ish)X+ga ~ (bo'l-)	Relations	(be) relevant to X, suitable for X, matching X	Bu to'n sizga munosib.	This coat suits you.	U bayramga munosib sovg'a berdi.	He gave a worthy gift for the festival.
295	MUVOFIQ	adj | NX+ga ~	Relations	suitable for X, reasonable				
301	LOYIQ	adj | N(ish)X+ga ~ (bo'l-)	Relations	suitable for X, fit X; deserving X	Bu ot bizga loyiq.	This horse suits us.		
303	YARA-	v.int | NX+ga ~	Relations	be fit for X, suit X, be appropriate, good for X | be useful, helpful for X	U oshpazlikka butunlay yaramaydi.	He is absolutely not suited for being a cook.	Bu ishga yaramaydi.	He doesn't fit for this job.
318	moslash-	v.int | NX+ga ~	Relations	adapt o.s. to X, accomodate o.s. to X	U yangi vaziyatga yaxshi moslashdi.	He has well adapted himself to the new situation.		
322	TARTIB	n	Category and Order	order				
326	tartibli	adj	Category and Order	in order				
332	TORTIB	post | NX+dan ~	Category and Order	starting from X	U eng katta shaharlardan tortib kichik qishloqlargacha boradi.	He will go from the largest cities to the smallest villages.		
333	TUZ-	v.t	Category and Order	draw up, form, make, construct	U gapni noto'g'ri tuzgan.	He constructed the sentence wrongly.	Davlat tuzish uchun kurashamiz.	We are fighting to form a government.
334	tuzilish	n	Category and Order	composition, making up, structure				
335	tuzum	n	Category and Order	system, structure	Mamlakatning ijtimoiy tuzumida o'zgarish bo'ldi.	There was a change in the social structure of the country.		
344	TASHKIL	tashkil bo'l-	Category and Order	be composed, be made up				
349	IBORAT	adj | NX+dan ~	Category and Order	consisting of X, composed of X	Roman besh bobdan iborat.	The novel consists of five chapters.	Bu tashkilotning a'zolari quyidagilardan iboratdir.	Members of this organization consist of those listed below.
351	MURAKKAB	adj	Category and Order	complex, complicated	Bu murakkab ish.	This is a complicated matter.		
356	SODDA	adj	Category and Order	simple | simple, plain, naive	Sodda masala.	Simple problem.		
359	BUTUN	adj	Category and Order	whole, entire, all	Butun kuchni paxta terishga safarbar qilish kerak.	All forces must be mobilized for cotton gathering.	U butun dunyoga mashhur.	He is famous throughout the whole world.
361	butunlay	adv	Category and Order	completely, wholly, absolutely	Ayrim kunlarda butunlay o'qishga bormayman.	Some days I don't go to school at all.	Bu daraxt butunlay qurib qolgan.	This tree dried up completely.
363	birlik	n	Category and Order	unity | unit	Kuch birlikda.	Strength in unity.		
364	birlash-	v.int | (NX+ga) ~	Category and Order	unite (to X), join together	Dehqonlar kooperativlarga birlashdilar.	Many peasants have united to cooperatives.		
365	birlashtir-	v.t | NX+ni (NY+ga) ~	Category and Order	unite, combine X (to Y), assemble, put together X	Yosh bolalar harflarni so'zga birlashtirdilar.	The small children united the letters to words..		
370	TO'P	n, meas	Category and Order	group, flock, heap	Bir to'p qo'y.	A flock of sheep.	Bir to'p tosh.	A heap of stones.
371	to'pla-	v.t	Category and Order	collect, gather, group	O'qituvchi o'z o'quvchilarini maktab oldiga to'pladi.	The teacher gathered his pupils in front of the school building.		
372	to'plam	n	Category and Order	collection, gathering, group	Bugun bizning to'plamimiz bor.	We have a meeting today.		
379	yig'ishtir-	v.t	Category and Order	gather up, tidy up, put in order, clean up				
383	QO'SH-	v.t | NX+ni NY+ga ~	Category and Order	add X to Y	Arpani bug'doyga qo'shdim.	I added the barley to the wheat.	Ikkini uchga qo'shdim.	I added two to three.
388	JAM	n	Category and Order	addition, plus, total				
391	TO'DA	n | NX+lar ~+si	Category and Order	group of Xs, gang of Xs | flock, swarm of Xs | heap, pile of Xs	Bir to'da qog'oz.	A pile of papers.		
396	QISM	n	Category and Order	part (of a whole/ a group), portion	Bu kitoblarning bir qismi ukamnikidir.	Some of these books belong to my young brother.	Kitob ikki qismdan iborat.	The book consists of two parts.
398	BO'L-	v.t	Category and Order	separate				
399	BO'L-	v.t | NX+ni numY+ga ~	Category and Order	divide X in Y	Nonni ikkiga bo'ling!	Divide the loaf in half!		
408	AYIR-	v.t | NX+ni NY+dan ~	Category and Order	remove, take away X from Y, separate X from Y	Men molimni ayiraman.	I will remove my belongings.	O'glingizni bizdan ayirmang.	Do not take your son away from us.
410	ayricha	adv	Category and Order	separately, apart, specially	Bu kitoblarni ayricha qo'ying!	Put these books separately!	Men bu yangilikni sizga ayricha yozdim.	I wrote this news only to you.
414	ajral-	v.int	Category and Order	divide, split, break up	Palyon ikkiga ajralib ketdi.	The log split in two.		
420	QATOR	n	Category and Order	row, line, column | set, group	Qator turgan askarlarni ko'rdingizmi?	Did you see the soldiers standing in line?		
432	RO'YXAT	n	Category and Order	list, register				
437	TABIIY	adj	Category and Order	natural	Bizning mamlakatda tabiiy boyliklar ko'p.	There is much natural wealth in our country.		
438	SUN'IY	adj	Category and Order	artificial, man-made				
444	MAZMUN	n	Category and Order	sense | content, essence, point	Gapingizning mazmuniga tushunmadim.	I did not see the point of what you said.		
453	SHAKL	n	Category and Order	form, shape | manner, way	Bu odamning shakli chiroyli.	This man's figure is good.	Shaklimni oynakda ko'rdim.	I saw my figure in the mirror.
459	ko'rinish	n | (tashqi) ~	Category and Order	appearance, exterior, looks | scene, scenery, view	Bu tog'ning ko'rinishi sizga yoqadimi?	Do you like the view of this mountain?		
460	QIYOFA	n	Category and Order	appearance, face	Bu odamning qiyofasi o'zgardi.	This man's appearance has changed.	Yangi uylar qurilib, shaharning qiyofasi ancha o'zgardi.	The face of the town has been somewhat changed by the building of new houses.
465	XOS	adj	Category and Order	particular, unique				
466	XOS	NX+(ning o'z+i)ga ~	Category and Order	specific to X	Bu shaharning o'ziga xos go'zalligi bor.	This city has its own particular beauty.		
468	MAXSUS	adj	Category and Order	special, particular	Bu kitobni maxsus bir yerda saqlash kerak.	This book must be kept in a special place.		
470	XUSUSIY	adj	Category and Order	personal, private				
471	xususiyat	n	Category and Order	characteristics, peculiarities	Har bir narsaning o'ziga xos xususiyati bor.	Everything has its own particular characteristics.		
473	SIFAT	n	Category and Order	characteristic | quality	Bu gazlamaning sifati yaxshi.	The quality of this cloth is good.		
477	ALOHIDA	ad	Category and Order	separate(ly), apart | special(ly), particular(ly)	Bu kitobni olib ketish uchun alohida kelaman.	I will come specially to take this book.	Bu mamlakatning alohida ahamiyati bor.	This country has a special significance.
478	AYNIQSA	adv | ~ NX	Category and Order	especially X, particularly X	Ayniqsa kecha ko'p yomg'ir yog'di.	It rained a lot, especially yesterday.		
480	DARAJA	n	Category and Order	degree | level	Ish sifatini yuqori darajaga ko'tarish kerak.	The quality of work must be greatly improved.		
482	SAVIYA	n	Category and Order	level, standard	Maktabda o'tkazilyotgan darslarning saviyasi juda ham past.	The standard of the lessons given at the schools is very low.		
485	YUQORI	adj	Category and Order	high (fig.)	Yuqori hosil olish uchun kurashmoqdalar.	They are struggling to obtain a high yield of cotton.	Yuqori idoralarga murojaat qiling!	Apply to the highest institutions!
488	XIL	n	Category and Order	kind, sort, type				
489	XIL	num/pronY ~ NX	Category and Order	Y kind of X, sort of X, type of X				
490	XIL	har ~ NX+lar	Category and Order	all kinds of X	Yozda har xil sabzavotlar mo'l bo'ladi.	The choice of vegetables in summer is very rich.	Bog'imizda har xil mevalar bor.	There are different kinds of fruit in our garden.
495	turli	adj	Category and Order	different, various, diverse	Bugun turli xildagi mevalar yedim.	I ate different kinds of fruit today.		
507	ASOS	n	Category and Order	basis, foundation, ground	Tinch-totuv yashash prinsiplari mamlakatimiz tashqi siyosatining asosdir.	The principles of peaceful coexistence are the basis of the foreign policy of our country.		
510	asosiy	adj	Category and Order	basic, fundamental; main, principal				
511	asosan	adv	Category and Order	in principle, basically	Asosan bu ishni qilmasligingiz kerak edi.	In principle you should not have done this work.		
516	TAFSIL	n	Category and Order	detail				
523	MUHIM	adj	Category and Order	important	Bu muhim asardir.	This is an important work.		
526	AHAMIYAT	n	Category and Order	significance, importance	Bu lug'atning katta ahamiyati bor.	This dictionary is very important.		
527	AHAMIYAT	N(ish)X+ga ~ ber-	Category and Order	attach importance to X, pay heed to X	Hukumat bu qurilishga katta ahamiyat beradi.	The government attaches great importance to this construction.		
529	ahamiyatli	adj	Category and Order	significant, important				
532	BOSH	n, adj	Category and Order	head, chief, top, main				
541	ODAT	n	Category and Order	habit | custom, usage				
542	ODAT	odatda	Category and Order	habitually, customarily, usually				
547	ODDIY	adj	Category and Order	ordinary, usual, regular	U oddiy ishchi.	He is an ordinary worker.		
550	QOIDA	n	Category and Order	rule, regulation	Tashkilot qoidasiga bo'ysunish kerak.	One must bow to the rules of the organization.		
568	G'ALATI	adj	Category and Order	strange, peculiar	Men g'alati bir tush ko'rdim.	I had a strange dream.		
572	HATTO	adv | ~ NX	Category and Order	even X				
573	MIQDOR	n	Quantity and Numbers	quantity, amount	Sanoatga sarflanadigan kapital miqdori 1998-2003 yillardagiga nisbatan ikki marta oshirildi.	The amount of capital to be spent on industry has been increased to twice the amount spent in 1998-2003.		
575	KO'P	adj	Quantity and Numbers	many, plenty, a lot of	O'tgan yil buromadimiz ko'p bo'ldi.	Our expenditure was high last year.	Qog'ozdan ko'proq bering!	Please give me some paper!
576	KO'P	adv	Quantity and Numbers	very, very much	Men ko'p charchadim.	I am very tired.	U ko'p aqilli odam.	He is a very clever man.
583	ko'pay-	v.int	Quantity and Numbers	increase, grow, multiply				
585	ko'paytir-	v.t	Quantity and Numbers	increase, raise, multiply				
587	ko'pchilik	n	Quantity and Numbers	majority | everybody, many people				
589	ANCHA	adj (mostly with neg.)	Quantity and Numbers	many, quite a lot of				
590	ANCHA	adv	Quantity and Numbers	(rather) much, greatly	Talabalarning soni bu yil o'gan yilga qaraganda ancha ko'paydi.	Compared with last year, the number of students this year has increased greatly.		
595	MO'L	adj	Quantity and Numbers	abundant, plentiful, rich				
601	OZ	adj	Quantity and Numbers	few, small (quantity)	Qishloqda odam oz.	There are few people in the village.		
605	ozay-	v.int	Quantity and Numbers	decrease, grow less, diminish	Shaharda odamlar ozaydi.	The number of people in the town has decreased.		
606	ozayt-/ ozaytir-	v.t	Quantity and Numbers	reduce, lessen, diminish				
609	ozgina	adv	Quantity and Numbers	a little, a bit				
613	YANA	adv	Quantity and Numbers	again | more, another	Bu ko'prik yonida yana bir osma ko'prik ham qurilmoqda.	Another suspension bridge is being built alongside this one.	Mana shu siyoqli kitoblardan yana bormi?	Are there any more books like these?
617	ortiq	adj	Quantity and Numbers	extra, in excess	Uning bir panjasi ortiq.	I cannot wait for you any more.		
618	ortiq	numX+dan ~	Quantity and Numbers	more than X	Bu yerga ottuzdan ortiq kishi keldi.	More than 30 people came.		
620	ortiq	adv	Quantity and Numbers	more, too much	Menga bergan pulingiz ortiq keldi.	You gave me too much money.	Sizni ortiq kuta olmayman.	I cannot wait for you any more.
627	YUKSAL-	v.int	Quantity and Numbers	rise, ascend (l/f)	Uning harorati yuksalyapti.	His temperature is rising.	Xalq xo'jaligi yuksalyapti.	The national economy is improving.
631	TASHQARI	NX+dan ~	Quantity and Numbers	other than X, in addition to X, besides X	Bu ishimizdan tashqari bo'lgan boshqa ishni qilmaymiz.	We will not do any other work than this.	Bu kitob o'qing, bundan tashqari bu kitob haqida o'z fikringizni yozing.	Read this book and in addition, write your views about it.
637	KAM	adj	Quantity and Numbers	few, small, little (quantity) | short, lacking	Pul kam-ku.	The money is short.		
638	KAM	adv	Quantity and Numbers	little, not enough	Bu yil yomg'ir kam yog'di.	It has rained little this year.	Kam tajribali odam.	A worker of little experience.
645	kamay-	v.int	Quantity and Numbers	decrease, get less	Daryoda suv kamaydi.	The level of the river has decreased.		
647	kamchilik	n	Quantity and Numbers	default, shortcoming				
650	YET-	v.int | NX+ga (NY+ga) ~	Quantity and Numbers	be enough, be sufficient for X (for Y), suffice for X (for Y)	Bu go'sht bizga ikki kunga yetadi.	The meat will suffice for us for two days.	Vaqt yetmadi.	There wasn't enough time.
651	YET-	v.int | N(ish)X uchun ~	Quantity and Numbers	be enough, be sufficient for X, suffice for X	Bu uyni sotib olish uchun pulim yetmaydi.	My money is not sufficient to buy this house.		
654	yetarli	adj | NX+ga ~	Quantity and Numbers	sufficient, enough, adequate for X	Menga shuning o'zi yetarli.	This is enough for me.		
660	NECHA	bir necha	Quantity and Numbers	several, some	Bu yerga bir necha kishilar keldi.	Several people came here.		
662	QANCHA	bir qancha	Quantity and Numbers	several	Bir qancha kitobim bor.	I have several books.		
664	MUNCHA	bir muncha	Quantity and Numbers	several, some | somewhat, a little				
667	TALAY	bir oz / biroz	Quantity and Numbers	a little, a bit	Bir oz kechikib qoldim.	I am a little late.		
669	JAM	n	Quantity and Numbers	addition, plus, total				
671	jami	adv	Quantity and Numbers	in total				
674	QO'SH-	v.t | NX+ni NY+ga ~	Quantity and Numbers	add X to Y	Arpani bug'doyga qo'shdim.	I added the barley to the wheat.	Ikkini uchga qo'shdim.	I added two to three.
689	taqsimla-	v.t | NX+ni NY+ga ~	Quantity and Numbers	distribute X to Y, divide X by Y				
691	BO'L-	v.t	Quantity and Numbers	separate				
692	BO'L-	v.t | NX+ni numY+ga ~	Quantity and Numbers	divide X in Y	Nonni ikkiga bo'ling!	Divide the loaf in half!		
700	PARCHA	n | ~ NX	Quantity and Numbers	piece of X, splinter of X, scrap	Bir parcha non bering!	Give me a piece of bread please!		
701	PARCHA	n | NX ~+si	Quantity and Numbers	piece of X, splinter of X, scrap	Oyna parchasi.	Splinter of glass.		
709	BIR	num	Quantity and Numbers	one | a	Menga bir kitob kerak.	I need a book.		
713	BIR	birma-bir	Quantity and Numbers	one by one, one after another				
714	birlik	n	Quantity and Numbers	unity | unit	O'lchov birligi.	Unit of measure.		
715	BIROR	adj	Quantity and Numbers	some (unspecified), one (about one)	Biror chora topish kerak.	Some remedy must be found.	Biror soat kutub turing.	Wait about an hour.
718	BUTUN	adj	Quantity and Numbers	whole, entire, all	Butun kuchni paxta terishga safarbar qilish kerak.	All forces must be mobilized for cotton gathering.	U butun dunyoga mashhur.	He is famous throughout the whole world.
720	butunlay	adv	Quantity and Numbers	completely, wholly, absolutely	Ayrim kunlarda butunlay o'qishga bormayman.	Some days I don't go to school at all.	Bu daraxt butunlay qurib qolgan.	This tree dried up completely.
721	to'la	adj | NX bilan ~	Quantity and Numbers	full of X	Bu zal odamlar bilan to'p-to'la.	This hall is completely filled with people.	To'la huquqqa ega bo'lish uchun ishlamoqdamiz.	We are working to have full rights.
722	to'la	adv	Quantity and Numbers	fully, completely, totally	Xalqning ehtiyojini to'la ta'min etish kerak.	The demands of the people must be fully met.		
723	to'liq	ad	Quantity and Numbers	full(y), sufficient(ly), ample, complete(ly)				
